,,Concentration_ug_per_g,Concentration_ug_per_g,Concentration_ug_per_g,SD
,,min,max,mean,mean
Site,Metal,,,,
Chebba,Cd,0.244,1.121,0.682,0.079
Chebba,Cr,0.041,0.39,0.251,0.041
Chebba,Hg,0.026,0.042,0.037,0.01
Chebba,Pb,0.633,0.633,0.633,0.107
Djerba_Island,Cd,0.966,3.005,1.7,0.266
Djerba_Island,Cr,0.604,1.687,1.29,0.191
Djerba_Island,Pb,1.032,2.543,1.743,0.289
Elbibane_lagoon,Cd,0.312,0.8,0.595,0.094
Elbibane_lagoon,Cr,0.183,0.386,0.27,0.04
Elbibane_lagoon,Hg,0.027,0.044,0.034,0.005
Elbibane_lagoon,Pb,0.643,0.86,0.72,0.09
Gabes,Cd,1.065,4.3,2.22,0.2
Gabes,Cr,1.605,2.171,1.888,0.212
Kerkennah_Island,Cr,0.335,0.335,0.335,0.008
Kerkennah_Island,Hg,0.169,0.169,0.169,0.048
Louata,Hg,0.285,0.679,0.419,0.074
Mahres,Hg,0.387,0.387,0.387,0.013
Zarzis,Cr,2.066,2.066,2.066,0.222
Zarzis,Hg,0.181,0.181,0.181,0.02
